,Country/Region,Confirmed,Deaths,Recovered,DeathRate,RecoveryRate
0,China,4176244.0,145643.0,2382893.0,3.5,57.1
1,Italy,1211089.0,116529.0,146124.0,9.6,12.1
2,United States,1087452.0,18203.0,19452.0,1.7,1.8
3,Spain,742532.0,54563.0,103264.0,7.3,13.9
4,Germany,588757.0,3876.0,68428.0,0.7,11.6
5,Iran,527564.0,34371.0,172843.0,6.5,32.8
6,France,410165.0,21343.0,53046.0,5.2,12.9
7,South Korea,257018.0,2682.0,54527.0,1.0,21.2
8,United Kingdom,165726.0,9122.0,2141.0,5.5,1.3
9,Switzerland,155137.0,2566.0,9067.0,1.7,5.8
10,Netherlands,102001.0,5837.0,806.0,5.7,0.8
11,Belgium,89035.0,3145.0,9206.0,3.5,10.3
12,Austria,84819.0,626.0,2883.0,0.7,3.4
13,Turkey,58776.0,976.0,674.0,1.7,1.1
14,Canada,52258.0,564.0,3931.0,1.1,7.5
15,Norway,51349.0,234.0,88.0,0.5,0.2
16,Portugal,46919.0,792.0,348.0,1.7,0.7
17,Sweden,43918.0,945.0,218.0,2.2,0.5
18,Brazil,37132.0,976.0,290.0,2.6,0.8
19,Australia,36147.0,192.0,2545.0,0.5,7.0
20,Israel,34856.0,94.0,1069.0,0.3,3.1
21,Denmark,32714.0,542.0,508.0,1.7,1.6
22,Japan,30425.0,857.0,5983.0,2.8,19.7
23,Malaysia,28203.0,264.0,3912.0,0.9,13.9
24,Others,26228.0,189.0,5003.0,0.7,19.1
25,Czech Republic,25984.0,110.0,168.0,0.4,0.6
26,Ireland,23309.0,296.0,75.0,1.3,0.3
27,Chile,17663.0,50.0,583.0,0.3,3.3
28,Luxembourg,17210.0,162.0,270.0,0.9,1.6
29,Ecuador,16469.0,423.0,84.0,2.6,0.5
30,Poland,16224.0,213.0,118.0,1.3,0.7
31,Pakistan,15587.0,126.0,377.0,0.8,2.4
32,Romania,14742.0,314.0,1483.0,2.1,10.1
33,Thailand,14506.0,72.0,2311.0,0.5,15.9
34,Finland,13419.0,69.0,202.0,0.5,1.5
35,Greece,13409.0,339.0,495.0,2.5,3.7
36,Singapore,13124.0,25.0,4539.0,0.2,34.6
37,Russia,12274.0,54.0,605.0,0.4,4.9
38,Saudi Arabia,12266.0,39.0,594.0,0.3,4.8
39,Indonesia,11971.0,989.0,572.0,8.3,4.8
40,Philippines,11535.0,697.0,386.0,6.0,3.3
41,Iceland,11300.0,27.0,996.0,0.2,8.8
42,India,10338.0,226.0,864.0,2.2,8.4
43,Qatar,10293.0,5.0,501.0,0.0,4.9
44,South Africa,10173.0,12.0,189.0,0.1,1.9
45,Hong Kong,9626.0,142.0,2681.0,1.5,27.9
46,Slovenia,8609.0,83.0,73.0,1.0,0.8
47,Bahrain,7926.0,41.0,3046.0,0.5,38.4
48,Peru,7702.0,142.0,518.0,1.8,6.7
49,Estonia,7353.0,14.0,135.0,0.2,1.8
50,Panama,7285.0,133.0,27.0,1.8,0.4
51,Egypt,7156.0,338.0,1432.0,4.7,20.0
52,Mexico,6926.0,108.0,157.0,1.6,2.3
53,Argentina,6494.0,158.0,923.0,2.4,14.2
54,Croatia,6422.0,36.0,355.0,0.6,5.5
55,Iraq,6369.0,509.0,1482.0,8.0,23.3
56,Dominican Republic,6140.0,220.0,30.0,3.6,0.5
57,Colombia,6132.0,68.0,109.0,1.1,1.8
58,Serbia,5865.0,71.0,41.0,1.2,0.7
59,United Arab Emirates,5795.0,32.0,902.0,0.6,15.6
60,Lebanon,5181.0,110.0,257.0,2.1,5.0
61,Diamond Princess,4984.0,70.0,4187.0,1.4,84.0
62,Algeria,4828.0,324.0,594.0,6.7,12.3
63,Taiwan,4545.0,63.0,740.0,1.4,16.3
64,Kuwait,4325.0,0.0,645.0,0.0,14.9
65,Armenia,4099.0,12.0,205.0,0.3,5.0
66,Morocco,3758.0,192.0,114.0,5.1,3.0
67,New Zealand,3639.0,3.0,341.0,0.1,9.4
68,Lithuania,3611.0,47.0,29.0,1.3,0.8
69,Bulgaria,3576.0,71.0,92.0,2.0,2.6
70,Hungary,3512.0,119.0,293.0,3.4,8.3
71,San Marino,3464.0,318.0,94.0,9.2,2.7
72,Slovakia,3440.0,4.0,46.0,0.1,1.3
73,Latvia,3277.0,0.0,22.0,0.0,0.7
74,Ukraine,3064.0,89.0,40.0,2.9,1.3
75,Costa Rica,2987.0,24.0,29.0,0.8,1.0
76,Vietnam,2930.0,0.0,818.0,0.0,27.9
77,Bosnia and Herzegovina,2822.0,50.0,72.0,1.8,2.6
78,Andorra,2787.0,39.0,37.0,1.4,1.3
79,Uruguay,2703.0,3.0,41.0,0.1,1.5
80,Tunisia,2476.0,64.0,19.0,2.6,0.8
81,North Macedonia,2473.0,40.0,49.0,1.6,2.0
82,Jordan,2421.0,15.0,124.0,0.6,5.1
83,Moldova,2328.0,21.0,53.0,0.9,2.3
84,Albania,2232.0,91.0,241.0,4.1,10.8
85,Cyprus,2089.0,41.0,106.0,2.0,5.1
86,Kazakhstan,1935.0,10.0,86.0,0.5,4.4
87,Azerbaijan,1915.0,37.0,212.0,1.9,11.1
88,Burkina Faso,1901.0,86.0,161.0,4.5,8.5
89,Oman,1722.0,1.0,360.0,0.1,20.9
90,Malta,1707.0,0.0,35.0,0.0,2.1
91,Brunei,1688.0,4.0,169.0,0.2,10.0
92,Sri Lanka,1505.0,6.0,123.0,0.4,8.2
93,Belarus,1467.0,1.0,347.0,0.1,23.7
94,Senegal,1444.0,0.0,185.0,0.0,12.8
95,Venezuela,1296.0,11.0,262.0,0.8,20.2
96,Georgia,1260.0,0.0,132.0,0.0,10.5
97,Cambodia,1259.0,0.0,156.0,0.0,12.4
98,Afghanistan,1225.0,29.0,26.0,2.4,2.1
99,Ghana,1146.0,38.0,40.0,3.3,3.5
100,Cameroon,1067.0,24.0,29.0,2.2,2.7
101,Uzbekistan,1062.0,9.0,31.0,0.8,2.9
102,Ivory Coast,1052.0,3.0,39.0,0.3,3.7
103,Cuba,1020.0,28.0,27.0,2.7,2.6
104,Macau,885.0,0.0,408.0,0.0,46.1
105,Nigeria,845.0,11.0,39.0,1.3,4.6
106,Mauritius,841.0,26.0,0.0,3.1,0.0
107,Honduras,818.0,20.0,12.0,2.4,1.5
108,Trinidad and Tobago,757.0,16.0,6.0,2.1,0.8
109,Montenegro,701.0,10.0,0.0,1.4,0.0
110,Liechtenstein,694.0,0.0,0.0,0.0,0.0
111,Bolivia,682.0,11.0,0.0,1.6,0.0
112,Congo Kinshasa,642.0,41.0,10.0,6.4,1.6
113,West Bank and Gaza,617.0,6.0,106.0,1.0,17.2
114,Kyrgyzstan,587.0,0.0,6.0,0.0,1.0
115,Rwanda,579.0,0.0,0.0,0.0,0.0
116,Kosovo,562.0,6.0,10.0,1.1,1.8
117,Bangladesh,546.0,49.0,133.0,9.0,24.4
118,Paraguay,546.0,26.0,5.0,4.8,0.9
119,Monaco,434.0,3.0,11.0,0.7,2.5
120,Jamaica,382.0,13.0,32.0,3.4,8.4
121,Kenya,370.0,6.0,7.0,1.6,1.9
122,Guatemala,333.0,16.0,54.0,4.8,16.2
123,Maldives,289.0,0.0,86.0,0.0,29.8
124,Togo,278.0,5.0,19.0,1.8,6.8
125,Madagascar,271.0,0.0,0.0,0.0,0.0
126,Barbados,255.0,0.0,0.0,0.0,0.0
127,Uganda,211.0,0.0,0.0,0.0,0.0
128,Ethiopia,203.0,0.0,8.0,0.0,3.9
129,Zambia,194.0,0.0,0.0,0.0,0.0
130,Guadeloupe,187.0,0.0,0.0,0.0,0.0
131,Martinique,172.0,6.0,0.0,3.5,0.0
132,Tanzania,163.0,1.0,5.0,0.6,3.1
133,El Salvador,156.0,1.0,0.0,0.6,0.0
134,Mongolia,150.0,0.0,4.0,0.0,2.7
135,Guyana,140.0,21.0,0.0,15.0,0.0
136,Reunion,137.0,0.0,0.0,0.0,0.0
137,Equatorial Guinea,130.0,0.0,1.0,0.0,0.8
138,Djibouti,125.0,0.0,0.0,0.0,0.0
139,Niger,119.0,11.0,0.0,9.2,0.0
140,French Guiana,117.0,0.0,6.0,0.0,5.1
141,Seychelles,111.0,0.0,0.0,0.0,0.0
142,Mali,106.0,5.0,0.0,4.7,0.0
143,Guinea,104.0,0.0,0.0,0.0,0.0
144,Namibia,97.0,0.0,16.0,0.0,16.5
145,Congo Brazzaville,97.0,0.0,0.0,0.0,0.0
146,Haiti,96.0,0.0,3.0,0.0,3.1
147,Nepal,92.0,0.0,49.0,0.0,53.3
148,Suriname,88.0,0.0,0.0,0.0,0.0
149,Bahamas,86.0,0.0,8.0,0.0,9.3
150,Palestine,86.0,0.0,0.0,0.0,0.0
151,Gabon,86.0,12.0,0.0,14.0,0.0
152,Dominica,79.0,0.0,0.0,0.0,0.0
153,Eswatini,75.0,0.0,0.0,0.0,0.0
154,Benin,68.0,0.0,1.0,0.0,1.5
155,Saint Lucia,66.0,0.0,5.0,0.0,7.6
156,Eritrea,65.0,0.0,0.0,0.0,0.0
157,Antigua and Barbuda,61.0,0.0,0.0,0.0,0.0
158,Mozambique,56.0,0.0,0.0,0.0,0.0
159,Burma,55.0,1.0,0.0,1.8,0.0
160,Holy See,54.0,0.0,0.0,0.0,0.0
161,Sudan,53.0,21.0,1.0,39.6,1.9
162,Zimbabwe,53.0,9.0,0.0,17.0,0.0
163,Syria,52.0,5.0,0.0,9.6,0.0
164,Grenada,52.0,0.0,0.0,0.0,0.0
165,Laos,50.0,0.0,0.0,0.0,0.0
166,Cabo Verde,49.0,8.0,0.0,16.3,0.0
167,Angola,48.0,6.0,1.0,12.5,2.1
168,Fiji,47.0,0.0,0.0,0.0,0.0
169,Bhutan,46.0,0.0,0.0,0.0,0.0
170,Mauritania,46.0,2.0,6.0,4.3,13.0
171,Liberia,41.0,0.0,0.0,0.0,0.0
172,Central African Republic,41.0,0.0,0.0,0.0,0.0
173,Chad,35.0,0.0,0.0,0.0,0.0
174,Nicaragua,33.0,5.0,0.0,15.2,0.0
175,Libya,33.0,0.0,1.0,0.0,3.0
176,Gambia,30.0,9.0,0.0,30.0,0.0
177,Somalia,29.0,0.0,1.0,0.0,3.4
178,GuineaBissau,26.0,0.0,0.0,0.0,0.0
179,occupied Palestinian territory,25.0,0.0,0.0,0.0,0.0
180,Saint Kitts and Nevis,25.0,0.0,0.0,0.0,0.0
181,Republic of Ireland,21.0,0.0,0.0,0.0,0.0
182,Mayotte,21.0,0.0,0.0,0.0,0.0
183,Aruba,19.0,0.0,0.0,0.0,0.0
184,Belize,18.0,0.0,0.0,0.0,0.0
185,Saint Vincent and the Grenadines,18.0,0.0,4.0,0.0,22.2
186,Saint Barthelemy,17.0,0.0,0.0,0.0,0.0
187,Papua New Guinea,12.0,0.0,0.0,0.0,0.0
188,Bahamas The,10.0,0.0,0.0,0.0,0.0
189,Faroe Islands,10.0,0.0,0.0,0.0,0.0
190,TimorLeste,10.0,0.0,0.0,0.0,0.0
191,MS Zaandam,8.0,0.0,0.0,0.0,0.0
192,Botswana,7.0,1.0,0.0,14.3,0.0
193,Gibraltar,7.0,0.0,1.0,0.0,14.3
194,Guam,6.0,0.0,0.0,0.0,0.0
195,Jersey,6.0,0.0,0.0,0.0,0.0
196,Vatican City,4.0,0.0,0.0,0.0,0.0
197,St. Martin,4.0,0.0,0.0,0.0,0.0
198,Gambia The,4.0,0.0,0.0,0.0,0.0
199,The Bahamas,3.0,0.0,0.0,0.0,0.0
200,Greenland,3.0,0.0,0.0,0.0,0.0
201,Guernsey,3.0,0.0,0.0,0.0,0.0
202,Puerto Rico,3.0,0.0,0.0,0.0,0.0
203,Cayman Islands,3.0,0.0,0.0,0.0,0.0
204,Curacao,2.0,0.0,0.0,0.0,0.0
205,Burundi,2.0,0.0,0.0,0.0,0.0
206,Sierra Leone,1.0,0.0,0.0,0.0,0.0
207,Cape Verde,1.0,0.0,0.0,0.0,0.0
208,Channel Islands,1.0,0.0,0.0,0.0,0.0
209,East Timor,1.0,0.0,0.0,0.0,0.0
210,The Gambia,1.0,0.0,0.0,0.0,0.0
211,North Ireland,1.0,0.0,0.0,0.0,0.0
212,Republic of the Congo,1.0,0.0,0.0,0.0,0.0
213, Azerbaijan,1.0,0.0,0.0,0.0,0.0
